       iteration               t^+        drop count
               0      0.000000E+00               256
            2000      1.500000E+01               256
            4000      3.000000E+01               256
            6000      4.500000E+01               255
            8000      6.000000E+01               254
           10000      7.500000E+01               254
           12000      9.000000E+01               252
           14000      1.050000E+02               247
           16000      1.200000E+02               245
           18000      1.350000E+02               238
           20000      1.500000E+02               230
           22000      1.650000E+02               226
           24000      1.800000E+02               216
           26000      1.950000E+02               212
           28000      2.100000E+02               204
           30000      2.250000E+02               198
           32000      2.400000E+02               194
           34000      2.550000E+02               188
           36000      2.700000E+02               186
           38000      2.850000E+02               179
           40000      3.000000E+02               174
           42000      3.150000E+02               170
           44000      3.300000E+02               165
           46000      3.450000E+02               164
           48000      3.600000E+02               161
           50000      3.750000E+02               157
           52000      3.900000E+02               155
           54000      4.050000E+02               151
           56000      4.200000E+02               149
           58000      4.350000E+02               138
           60000      4.500000E+02               133
           62000      4.650000E+02               131
           64000      4.800000E+02               126
           66000      4.950000E+02               122
           68000      5.100000E+02               122
           70000      5.250000E+02               116
           72000      5.400000E+02               113
           74000      5.550000E+02               112
           76000      5.700000E+02               116
           78000      5.850000E+02               111
           80000      6.000000E+02               110
           82000      6.150000E+02               108
           84000      6.300000E+02               107
           86000      6.450000E+02               106
           88000      6.600000E+02               101
           90000      6.750000E+02                99
           92000      6.900000E+02                96
           94000      7.050000E+02                93
           96000      7.200000E+02                91
           98000      7.350000E+02                92
          100000      7.500000E+02                91
          102000      7.650000E+02                87
          104000      7.800000E+02                86
          106000      7.950000E+02                85
          108000      8.100000E+02                84
          110000      8.250000E+02                84
          112000      8.400000E+02                83
          114000      8.550000E+02                82
          116000      8.700000E+02                82
          118000      8.850000E+02                80
          120000      9.000000E+02                76
          122000      9.150000E+02                78
          124000      9.300000E+02                77
          126000      9.450000E+02                78
          128000      9.600000E+02                76
          130000      9.750000E+02                76
          132000      9.900000E+02                81
          134000      1.005000E+03                77
          136000      1.020000E+03                76
          138000      1.035000E+03                73
          140000      1.050000E+03                76
          142000      1.065000E+03                74
          144000      1.080000E+03                74
          146000      1.095000E+03                72
          148000      1.110000E+03                72
          150000      1.125000E+03                69
          152000      1.140000E+03                68
          154000      1.155000E+03                68
          156000      1.170000E+03                67
          158000      1.185000E+03                67
          160000      1.200000E+03                66
          162000      1.215000E+03                67
          164000      1.230000E+03                67
          166000      1.245000E+03                67
          168000      1.260000E+03                69
          170000      1.275000E+03                68
          172000      1.290000E+03                65
          174000      1.305000E+03                64
          176000      1.320000E+03                63
          178000      1.335000E+03                63
          180000      1.350000E+03                62
          182000      1.365000E+03                61
          184000      1.380000E+03                60
          186000      1.395000E+03                58
          188000      1.410000E+03                57
          190000      1.425000E+03                56
          192000      1.440000E+03                53
          194000      1.455000E+03                53
          196000      1.470000E+03                51
          198000      1.485000E+03                50
          200000      1.500000E+03                50
          202000      1.515000E+03                51
          204000      1.530000E+03                50
          206000      1.545000E+03                49
          208000      1.560000E+03                49
          210000      1.575000E+03                47
          212000      1.590000E+03                48
          214000      1.605000E+03                47
          216000      1.620000E+03                45
          218000      1.635000E+03                46
          220000      1.650000E+03                46
          222000      1.665000E+03                45
          224000      1.680000E+03                45
          226000      1.695000E+03                44
          228000      1.710000E+03                43
          230000      1.725000E+03                43
          232000      1.740000E+03                43
          234000      1.755000E+03                42
          236000      1.770000E+03                40
          238000      1.785000E+03                40
          240000      1.800000E+03                39
          242000      1.815000E+03                40
          244000      1.830000E+03                40
          246000      1.845000E+03                38
          248000      1.860000E+03                38
          250000      1.875000E+03                38
          252000      1.890000E+03                38
          254000      1.905000E+03                38
          256000      1.920000E+03                38
          258000      1.935000E+03                38
          260000      1.950000E+03                38
          262000      1.965000E+03                37
          264000      1.980000E+03                37
          266000      1.995000E+03                35
          268000      2.010000E+03                35
          270000      2.025000E+03                35
          272000      2.040000E+03                34
          274000      2.055000E+03                34
          276000      2.070000E+03                34
          278000      2.085000E+03                33
          280000      2.100000E+03                33
          282000      2.115000E+03                33
          284000      2.130000E+03                32
          286000      2.145000E+03                32
          288000      2.160000E+03                33
          290000      2.175000E+03                34
          292000      2.190000E+03                32
          294000      2.205000E+03                32
          296000      2.220000E+03                32
          298000      2.235000E+03                31
          300000      2.250000E+03                31
          302000      2.265000E+03                31
          304000      2.280000E+03                31
          306000      2.295000E+03                31
          308000      2.310000E+03                31
          310000      2.325000E+03                31
          312000      2.340000E+03                31
          314000      2.355000E+03                30
          316000      2.370000E+03                30
          318000      2.385000E+03                30
          320000      2.400000E+03                30
          322000      2.415000E+03                30
          324000      2.430000E+03                30
          326000      2.445000E+03                31
          328000      2.460000E+03                32
