         N_y CPU         N_z CPU         N_tasks     512**3 HT 1     512**3 HT 2    1024**3 HT 1    flow only
               8               8              64     7.26464e-01     7.31505e-01     6.65546e-01 
               8              16             128     1.00000e+00     1.00000e+00     1.00000e+00 
              16              16             256     2.10805e+00     1.23581e+00     1.30990e+00 
              16              32             512     4.67512e+00     2.33637e+00     3.00503e+00 
              32              32            1024     9.72671e+00     4.68173e+00     6.24296e+00 
              32              64            2048     1.85474e+01     7.58589e+00     1.39005e+01 
              64              64            4096     3.71045e+01     9.40608e+00     2.94621e+01 
              64             128            8192     5.00912e+01     1.09113e+01     5.23439e+01 
             128             128           16384     5.82563e+01     1.05221e+01     7.52336e+01 
             128             256           32768             NaN             NaN     1.09191e+02 
             256             256           65536             NaN             NaN     1.44963e+02 
